k,ZMP_ref_x,ZMP_ref_y,ZMP_x,COM_x,ZMP_y,COM_y
4262,0.2,-0.05,0.200066,0.198094,-0.0501321,-0.0447315
4263,0.2,-0.05,0.200066,0.198111,-0.0501312,-0.0447572
4264,0.2,-0.05,0.200065,0.198129,-0.0501303,-0.0447827
4265,0.2,-0.05,0.200065,0.198147,-0.0501294,-0.0448079
4266,0.2,-0.05,0.200064,0.198164,-0.0501285,-0.0448329
4267,0.2,-0.05,0.200064,0.198182,-0.0501276,-0.0448577
4268,0.2,-0.05,0.200064,0.198199,-0.0501268,-0.0448822
4269,0.2,-0.05,0.200063,0.198216,-0.0501259,-0.0449065
4270,0.2,-0.05,0.200063,0.198234,-0.050125,-0.0449306
4271,0.2,-0.05,0.200062,0.198251,-0.0501242,-0.0449544
4272,0.2,-0.05,0.200062,0.198268,-0.0501233,-0.044978
4273,0.2,-0.05,0.200061,0.198285,-0.0501224,-0.0450014
4274,0.2,-0.05,0.200061,0.198302,-0.0501216,-0.0450245
4275,0.2,-0.05,0.200061,0.198318,-0.0501208,-0.0450474
4276,0.2,-0.05,0.20006,0.198335,-0.0501199,-0.0450701
4277,0.2,-0.05,0.20006,0.198352,-0.0501191,-0.0450926
4278,0.2,-0.05,0.200059,0.198368,-0.0501183,-0.0451148
4279,0.2,-0.05,0.200059,0.198385,-0.0501174,-0.0451369
4280,0.2,-0.05,0.200058,0.198401,-0.0501166,-0.0451587
4281,0.2,-0.05,0.200058,0.198418,-0.0501158,-0.0451802
4282,0.2,-0.05,0.200058,0.198434,-0.050115,-0.0452016
4283,0.2,-0.05,0.200057,0.19845,-0.0501142,-0.0452227
4284,0.2,-0.05,0.200057,0.198466,-0.0501134,-0.0452436
4285,0.2,-0.05,0.200056,0.198482,-0.0501126,-0.0452643
4286,0.2,-0.05,0.200056,0.198498,-0.0501119,-0.0452848
4287,0.2,-0.05,0.200056,0.198514,-0.0501111,-0.0453051
4288,0.2,-0.05,0.200055,0.19853,-0.0501103,-0.0453251
4289,0.2,-0.05,0.200055,0.198546,-0.0501095,-0.045345
